,price,locali,superficie,bagni,piano
481,990000,4,187.0,2,3.0
482,349000,3,80.0,1,2.0
483,175000,2,70.0,1,1.0
484,670000,3,131.0,3,3.0
485,239000,2,60.0,1,3.0
486,620000,3,119.0,1,2.0
487,950000,5,190.0,3,2.0
488,241000,3,100.0,2,1.0
489,180000,3,72.0,2,0.0
490,835000,5,200.0,2,1.0
491,112000,2,75.0,1,0.0
492,249000,3,69.0,1,3.0
493,199000,3,90.0,2,2.0
494,245000,2,54.0,1,2.0
495,1950000,5,260.0,3,5.0
496,365000,3,83.0,2,0.0
497,189000,2,54.0,1,1.0
498,360000,3,90.0,1,2.0
499,495000,5,160.0,2,1.0
500,220000,2,75.0,1,3.0
501,1250000,5,245.0,3,0.0
502,290000,4,95.0,2,0.0
503,390000,3,120.0,1,2.0
504,155000,2,70.0,1,0.5
505,195000,2,70.0,1,0.0
506,158000,3,60.0,1,-1.0
507,370000,3,106.0,1,4.0
508,369000,4,150.0,2,1.0
509,420000,3,108.0,1,1.0
510,600000,3,130.0,2,5.0
511,399000,3,113.0,1,2.0
512,280000,3,75.0,1,0.0
513,199000,2,68.0,1,6.0
514,579000,3,75.0,2,4.0
515,590000,3,100.0,1,1.0
516,370000,4,100.0,2,4.0
517,139000,2,54.0,1,2.0
518,696000,3,84.0,2,1.0
519,1490000,5,304.0,3,2.0
520,680000,4,108.0,2,5.0
521,189000,4,119.0,1,0.5
522,175000,2,70.0,1,3.0
523,1320000,5,390.0,3,0.5
524,1780000,5,261.0,3,2.0
525,890000,5,200.0,3,1.0
526,119000,1,47.0,1,5.0
527,790000,5,167.0,2,4.0
528,390000,3,140.0,2,0.0
529,260000,3,80.0,1,1.0
530,1250000,4,200.0,3,4.0
531,353800,3,85.0,1,2.0
532,469000,3,103.0,1,2.0
533,810000,5,191.0,3,1.0
534,185000,2,45.0,1,0.0
535,330000,2,80.0,1,1.0
536,275000,3,93.0,1,3.0
537,1950000,5,360.0,3,2.0
538,215000,3,95.0,1,3.0
539,349000,4,128.0,1,5.0
540,260000,4,135.0,2,0.0
541,210000,1,43.0,1,2.0
542,138000,2,35.0,1,-1.0
543,145000,2,70.0,1,1.0
544,335000,3,80.0,1,0.5
545,508000,3,130.0,2,6.0
546,215000,2,55.0,1,2.0
547,980000,5,250.0,3,1.0
548,330000,3,90.0,2,1.0
549,1380000,5,200.0,2,3.0
550,245000,4,100.0,2,0.5
551,460000,3,100.0,2,3.0
552,259000,3,100.0,2,1.0
553,480000,3,141.0,3,0.5
554,349000,4,130.0,2,3.0
555,310000,3,70.0,1,0.0
556,330000,3,85.0,1,3.0
557,1100000,5,195.0,3,4.0
558,270000,3,102.0,1,4.0
559,149000,2,52.0,1,0.5
560,580000,4,121.0,2,3.0
561,245000,2,70.0,1,5.0
562,419000,4,120.0,2,6.0
563,324000,3,109.0,1,0.5
564,374000,2,53.0,1,4.0
565,140000,1,40.0,1,0.0
566,155000,3,65.0,1,0.5
567,460000,3,110.0,1,4.0
568,349000,4,99.0,2,1.0
569,160000,1,40.0,1,1.0
570,1200000,4,229.0,2,4.0
571,645000,5,168.0,2,3.0
572,155000,2,60.0,1,0.0
573,690000,5,240.0,2,1.0
574,600000,5,120.0,2,4.0
575,640000,5,210.0,3,1.0
576,259000,2,56.0,1,0.0
577,200000,4,95.0,1,1.0
578,2900000,5,592.0,3,4.0
579,320000,3,100.0,2,3.0
580,250000,4,154.0,2,1.0
581,369000,3,101.0,1,1.0
582,571000,5,155.0,3,1.0
583,260000,3,60.0,1,3.0
584,469000,4,130.0,1,0.5
585,149000,3,58.0,1,3.0
586,110000,3,80.0,1,3.0
587,175000,3,90.0,1,0.0
588,199000,3,76.0,2,1.0
589,290000,3,84.0,2,1.0
590,118000,1,30.0,1,1.0
591,199000,3,85.0,1,3.0
592,499000,3,125.0,2,3.0
593,229000,3,80.0,2,0.5
594,149000,2,70.0,1,0.0
595,210000,3,79.0,1,-1.0
596,229000,3,54.0,1,1.0
597,435000,4,153.0,2,1.0
598,279000,4,104.0,2,1.0
599,140000,2,66.0,1,4.0
600,219000,2,60.0,1,2.0
601,429000,2,64.0,1,2.0
602,420000,4,115.0,1,1.0
603,695000,5,182.0,2,2.0
604,289000,3,102.0,2,2.0
605,389000,4,120.0,2,5.0
606,199000,3,101.0,2,0.5
607,575000,5,160.0,3,3.0
608,229000,2,52.0,1,0.0
609,880000,5,250.0,2,0.0
610,455000,4,124.0,2,1.0
611,485000,4,118.0,2,2.0
612,430000,4,142.0,2,0.0
613,545000,4,127.0,2,5.0
614,262000,3,85.0,2,-1.0
615,179000,3,75.0,1,1.0
616,295000,4,145.0,2,7.0
617,595000,4,110.0,2,2.0
618,460000,4,148.0,2,0.0
619,208000,3,98.0,2,4.0
620,210000,2,66.0,1,1.0
621,318000,4,102.0,2,1.0
622,148000,3,90.0,1,1.0
623,542000,3,88.0,2,8.0
624,260000,3,107.0,1,0.0
625,225000,4,120.0,2,1.0
626,770000,5,140.0,2,2.0
627,495000,3,92.0,2,0.0
628,295000,3,85.0,1,2.0
629,269000,3,104.0,2,3.0
630,645000,5,173.0,3,1.0
631,440000,5,140.0,2,2.0
632,725000,5,180.0,3,2.0
633,325000,3,85.0,1,0.0
634,490000,5,145.0,2,2.0
635,430000,3,96.0,1,2.0
636,1150000,5,215.0,3,2.0
637,230000,3,85.0,1,1.0
638,285000,3,90.0,1,3.0
639,190000,2,50.0,1,0.0
640,240000,2,56.0,1,7.0
641,475000,5,120.0,2,3.0
642,170000,2,55.0,1,0.0
643,650000,5,190.0,2,5.0
644,400000,2,53.0,1,3.0
645,335000,2,90.0,1,4.0
646,225000,3,73.0,1,5.0
647,179000,2,65.0,1,1.0
648,212000,2,60.0,1,1.0
649,164000,2,60.0,1,2.0
650,295000,3,167.0,2,0.0
651,145000,2,68.0,1,0.5
652,115000,3,45.0,1,3.0
653,389000,4,115.0,2,2.0
654,1070000,5,200.0,2,2.0
655,495000,3,80.0,2,4.0
